"sample"	"PC1"	"PC2"	"Group"
"BR_1"	-78.599758959599	-72.9975361891508	"BR"
"BR_2"	-98.9398541530252	-94.388665574588	"BR"
"BR_3"	-98.2233848610439	-98.1375340211693	"BR"
"BRC1_1"	-113.062186096992	41.2813710041565	"BRC1"
"BRC1_2"	-116.628712486362	52.3594385056011	"BRC1"
"BRC1_3"	-115.219724752317	36.7401313186849	"BRC1"
"BRC17_1"	-69.636001038901	12.9141562279654	"BRC17"
"BRC17_2"	-57.4276816558658	22.9988520967665	"BRC17"
"BRC17_3"	-54.9376937862796	0.676004991628488	"BRC17"
"BRC30_1"	-90.1506283343826	-24.7438299928793	"BRC30"
"BRC30_2"	-86.4069774482088	-30.145496934723	"BRC30"
"BRC30_3"	-84.6722204785585	-29.182273079066	"BRC30"
"BRC5_1"	-104.755215516604	57.1526696559878	"BRC5"
"BRC5_2"	-104.600765048368	71.6742226103608	"BRC5"
"BRC5_3"	-107.258106464299	53.5098129405797	"BRC5"
"PC1_1"	84.5117785097803	-74.1124830763015	"PC1"
"PC1_2"	80.826934826528	-79.8709880221288	"PC1"
"PC1_3"	99.0855662817689	-70.6897030808861	"PC1"
"PC17_1"	168.298545783584	26.3299643015463	"PC17"
"PC17_2"	163.151753185563	37.8135686678945	"PC17"
"PC17_3"	165.713857947739	36.4066571658987	"PC17"
"PC30_1"	106.444464460337	97.8318908448017	"PC30"
"PC30_2"	87.6122942961385	91.3053858424278	"PC30"
"PC30_3"	88.5505448291823	95.8497023479962	"PC30"
"PC5_1"	154.135580330186	-44.7542332888161	"PC5"
"PC5_2"	157.041108262625	-45.1253692207174	"PC5"
"PC5_3"	141.379423082217	-44.8558338868486	"PC5"
"PM_1"	-39.2545785485515	-0.799473427970805	"PM"
"PM_2"	-42.9583927808231	-10.9622400986658	"PM"
"PM_3"	-34.0199693854686	-14.0781686283858	"PM"
