"sample"	"PC1"	"PC2"	"Group"
"BR_1"	-0.136216241963633	-0.182609576366512	"BR"
"BR_2"	-0.211131515909738	-0.210829460969176	"BR"
"BR_3"	-0.213164038001305	-0.217507523668718	"BR"
"BRC1_1"	-0.161238160370747	0.124490153635905	"BRC1"
"BRC1_2"	-0.16245726744386	0.151635588242395	"BRC1"
"BRC1_3"	-0.165240257788484	0.119197241472002	"BRC1"
"BRC17_1"	-0.101663931490595	0.0241973221259803	"BRC17"
"BRC17_2"	-0.0772007459892902	0.0456782590427034	"BRC17"
"BRC17_3"	-0.0740040779016796	-0.00274513882421946	"BRC17"
"BRC30_1"	-0.145202822908267	-0.0622552434215674	"BRC30"
"BRC30_2"	-0.137009890299695	-0.0773307763448102	"BRC30"
"BRC30_3"	-0.133446649751732	-0.0751405607083068	"BRC30"
"BRC5_1"	-0.150382212727024	0.134442909778381	"BRC5"
"BRC5_2"	-0.148827874421275	0.154399442953224	"BRC5"
"BRC5_3"	-0.153154488361501	0.134133665368037	"BRC5"
"PC1_1"	0.18747596844945	-0.146064594179832	"PC1"
"PC1_2"	0.188772097479484	-0.1598972237371	"PC1"
"PC1_3"	0.201213132711476	-0.135335844825399	"PC1"
"PC17_1"	0.194464045842238	0.0898812541151561	"PC17"
"PC17_2"	0.191683890043181	0.106160924566415	"PC17"
"PC17_3"	0.192935850823202	0.105031041034556	"PC17"
"PC30_1"	0.174977840616815	0.12419841205346	"PC30"
"PC30_2"	0.153401768556352	0.11820851984761	"PC30"
"PC30_3"	0.156360447688133	0.119912759336009	"PC30"
"PC5_1"	0.221901477337854	-0.0694619495451887	"PC5"
"PC5_2"	0.224464577467387	-0.0697054985790683	"PC5"
"PC5_3"	0.2122853547586	-0.0720296547688324	"PC5"
"PM_1"	-0.0446598601158006	-0.00519689695284869	"PM"
"PM_2"	-0.0509130005293925	-0.0293647941086824	"PM"
"PM_3"	-0.0340234158001522	-0.0360927565715727	"PM"
