"","PC1","PC17","PC30"
"norank",0.0276340425151925,0.409302381510987,0.555366642097965
"Ectothiorhodospiraceae",0.768809044213655,0.124622004985203,0.040830847797366
"Limnochordaceae",0.00536312051870757,0.444171535416256,0.386665549487881
"Bacillaceae",0.0962485669658791,0,0
"Hyphomicrobiaceae",0.0328967636608009,0.000425294325294823,0
"Alcaligenaceae",0.0318062076497967,0,0
"Bradyrhizobiaceae",0.0251733327197816,0,0
"Thermoflexaceae",0.00343529970359257,0.00998622092834834,0.0109982837223673
"Paenibacillaceae",0.0053051575793502,0.00644994218325374,0.00347394392590414
"Thermoanaerobacteraceae",0,0.00344198002588829,0.00266473296851673
"Alteromonadaceae",0.00332846447324339,0.00160064062476923,0
