"","PC1","PC17","PC30"
"norank",0.0276340425151925,0.415557747413769,0.557790120717952
"Thioalkalivibrio",0.742039940688749,0.096861838240192,0.0374109860803319
"Limnochorda",0.00536312051870757,0.444171535416256,0.386665549487881
"Pseudogracilibacillus",0.0962485669658791,0,0
"Alkalilimnicola",0.0164793342813619,0.0167528785941226,0.00260758452589861
"Pusillimonas",0.0318062076497967,0,0
"Rhodopseudomonas",0.0251733327197816,0,0
"Devosia",0.0243622135857487,0.000425294325294823,0
"Thermoflexus",0.00343529970359257,0.00998622092834834,0.0109982837223673
"Nitrococcus",0.010289769243545,0.011007288150888,0.000812277191135582
"Rhodoplanes",0.00853455007505215,0,0
"Thermobacillus",0.0053051575793502,0.000194576280470993,0.00105046530591682
"Desulfovirgula",0,0.00344198002588829,0.00266473296851673
"Mangrovitalea",0.00332846447324339,0.00160064062476923,0
