"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"norank",0.0742134797367554,0.115599698817687,0.616503353784943,0.851903758072374,0.362138616513493,0.0312762086132856,0.407538206085608,0.550143518041496,0.586705612316487,0.0245094008180342
"Chromatiales",0.00038923486963687,0.131388297322312,0.19729315890289,0.0748807216788826,0.205390802130278,0.517471849324832,0.123217280545844,0.0407935660067481,0.186899266621558,0.0396398260767257
"Clostridiales",0.173212044691036,0.135100245859336,0.00531641863965749,0.00324850080917088,0.0684778014934336,0.230537626082576,0.00595943352868507,0.000514250655926245,0.016243044735448,0.566288482900759
"Limnochordales",0,0,0.0524209020708423,0.0187567639424793,0.0236365556713771,0.00360982211884112,0.43916488662144,0.386312493285699,0.185208531198833,0
"Burkholderiales",0.583705692480325,0.0568528388564164,0,0,0.000369935621426726,0.0263735963243065,0.000407871021627858,0,0.000567439291821666,0.105041589367458
"Bacillales",0.000679064177638585,0.376716119794661,0.00849117095055976,0.00236490040000866,0.0412327716409433,0.0683540263239153,0.00637723920099675,0.00347077194057808,0.00829347336254134,0.12911972414339
"Thermoflexales",0,0.00437339094341002,0.0860291030225548,0.0349464712488201,0.221271286311127,0.00231223982597826,0.00987365743206568,0.0109882414202107,0.00762011718146353,0
"Lactobacillales",0.0723010063494428,0.0434404073334927,0.000971338844751609,0.000355121197292658,0.0116588431228288,0.0635457944858912,0.000308998948919651,0,0.000582425183055722,0.107550950252625
"Rhizobiales",0.0100879045146754,0.0832751124445585,0.00353891646576045,0.000441663720118774,0.0610214365667399,0.0405415477717103,0.00216664578523915,0.00511485879260029,0.00580753731542408,0.00597630658758768
"Spirochaetales",0.0715173193066031,0.0176032439182316,0,0,0.000584675903404513,0.0137369582176986,0,0,0.000458495629201376,0.01578466098134
"Alteromonadales",0.00389234347384261,0.035650644709895,0.000420889323613351,0,0.00421727502494674,0.00224033091096493,0.00158259839374822,0,0,0.00483119586031054
"Thermoanaerobacterales",0,0,0.0290147479944268,0.0131020989308535,0,0,0.00340318243582605,0.00266229985674109,0.0016140571641664,0
"Cellvibrionales",0.0100019104000445,0,0,0,0,0,0,0,0,0.00125786301176997
