"","PC1","PC17","PC30"
"Mycolicibacterium",0.188193096832554,0.297618809406028,0.644458614579615
"norank",0.190660444550053,0.477262731361082,0.205357271480226
"Corynebacterium",0.449894689827675,0.0434648018682615,0
"Georgenia",0.0305895326623405,0.0526178042732917,0.115414750563826
"Nocardioides",0.0187523926986624,0.0963452525599743,0.0347693633763319
"Lysinimicrobium",0.0621176789707168,0,0
"Cellulomonas",0.0214757473863401,0.0162779822129273,0
"Aeromicrobium",0.0176724958935162,0.0134383000230445,0
"Cellulosimicrobium",0.0137846159455411,0.00297431829539029,0
"Pseudoclavibacter",0.00685930523260017,0,0
