"","PC1","PC17","PC30"
"Actinobacteria bacterium",0.0245394231875367,0.429929394228961,0.205357271480226
"Mycolicibacterium hassiacum",0,0.16712037885752,0.406979242863934
"Mycolicibacterium phlei",0.0831811278387857,0.108957183730711,0.237479371715681
"Corynebacterium freneyi",0.304321960274759,0.0378907875907386,0
"Pseudonocardiales bacterium",0.166121021362517,0.0473333371321211,0
"Georgenia satyanarayanai",0.0305895326623405,0.0526178042732917,0.115414750563826
"Corynebacterium urealyticum",0.145572729552917,0.00557401427752291,0
"Mycolicibacterium cosmeticum",0.105011968993768,0.0215412468177975,0
"Nocardioides daejeonensis",0.00184626757867382,0.0460683408100986,0.0347693633763319
"Nocardioides sp. Soil796",0.0169061251199885,0.0502769117498758,0
"Lysinimicrobium aestuarii",0.0621176789707168,0,0
"Cellulomonas bogoriensis",0.0214757473863401,0.0162779822129273,0
"Aeromicrobium choanae",0.0176724958935162,0.0134383000230445,0
"Cellulosimicrobium sp. I38E",0.0137846159455411,0.00297431829539029,0
"Zimmermannella sp. YIM 102482-1",0.00685930523260017,0,0
