"BR_1"	"BR_2"	"BR_3"	"BRC1_1"	"BRC1_2"	"BRC1_3"	"BRC17_1"	"BRC17_2"	"BRC17_3"	"BRC30_1"	"BRC30_2"	"BRC30_3"	"BRC5_1"	"BRC5_2"	"BRC5_3"	"PC1_1"	"PC1_2"	"PC1_3"	"PC17_1"	"PC17_2"	"PC17_3"	"PC30_1"	"PC30_2"	"PC30_3"	"PC5_1"	"PC5_2"	"PC5_3"	"PM_1"	"PM_2"	"PM_3"
"BR_1"	0	0.265077237602184	0.291123000422694	0.161908737930343	0.172409284172645	0.181712539451897	0.17040509811865	0.173017581009637	0.171343281872897	0.169564518783988	0.162186351840641	0.155602737413662	0.188164783130552	0.179468793070422	0.182794440191937	0.29371890082493	0.293168300119117	0.290626469755494	0.286018368364367	0.27776541931819	0.275043860936778	0.281898942299955	0.279104028599477	0.276409151448432	0.326853847004641	0.321312898882264	0.322494927145361	0.156862336258175	0.156335899170276	0.16023826003948
"BR_2"	0.265077237602184	0	0.0313828185521655	0.248942531619628	0.261339953265212	0.247830020434611	0.251665990922106	0.255496357098619	0.251685439686338	0.273403214487625	0.273535901494999	0.273446721031093	0.264404563085883	0.266352933738301	0.265587301419659	0.438067220422599	0.434327332910444	0.43209103875003	0.367414523545932	0.369438308147539	0.360684513934035	0.390356692780997	0.391074804376914	0.386146129583395	0.427718651165779	0.422763019522288	0.423188600978819	0.237510591408855	0.236115458583233	0.24482499173568
"BR_3"	0.291123000422694	0.0313828185521655	0	0.250041260886936	0.262657499373475	0.248926112096504	0.256692297469124	0.259314908804658	0.256531327672684	0.274233166796797	0.27413595705708	0.274271551901793	0.285412695277181	0.287318581872999	0.28656328161025	0.451686237085182	0.447995996400313	0.445768688294934	0.386945494946123	0.388885877786292	0.380297203181285	0.396222569992864	0.396978026663624	0.391908171355439	0.440645058184969	0.435839978113807	0.436215808526883	0.252866316925716	0.244976758242845	0.259391677373447
"BRC1_1"	0.161908737930343	0.248942531619628	0.250041260886936	0	0.0144217998341291	0.0193474980197746	0.0807767923230737	0.0832687574378365	0.0867417430876274	0.0867483840064337	0.08856830653059	0.0919540619252034	0.121032031994971	0.108767971253192	0.116912444829219	0.284317149990472	0.280980854502366	0.27971756525215	0.25082127229194	0.246146913713355	0.237743643435923	0.218970405319302	0.215772551961691	0.213557338958826	0.302364838759401	0.296183203801177	0.297459302420174	0.142434792512504	0.154706707923585	0.163618013023956
"BRC1_2"	0.172409284172645	0.261339953265212	0.262657499373475	0.0144217998341291	0	0.0200303463409766	0.0915690309896462	0.0939539501870927	0.0974836544412691	0.0863821250776119	0.0887730287302989	0.0916411425914241	0.11957219129123	0.107325528716678	0.1154600237984	0.283588790235935	0.279262568159311	0.27758538707547	0.247961097242365	0.243284880184655	0.234852393633361	0.207391508131491	0.204163565941689	0.202055934937096	0.306867169224868	0.297429402957638	0.298996099399515	0.150870249903166	0.163175302894529	0.171946962658116
"BRC1_3"	0.181712539451897	0.247830020434611	0.248926112096504	0.0193474980197746	0.0200303463409766	0	0.0851157979704869	0.0876064790289574	0.0932171639705493	0.0910271217073472	0.092849967297088	0.0962765682772764	0.117659270509052	0.105350007524121	0.113495131804806	0.292455348789503	0.288136539973978	0.285788215814588	0.253617372727996	0.248877632768857	0.240416792780587	0.217487306085999	0.216271113012935	0.214818243138124	0.306350529130219	0.29934441986379	0.300622117386202	0.149972454998382	0.162447583042383	0.171353455566334
"BRC17_1"	0.17040509811865	0.251665990922106	0.256692297469124	0.0807767923230737	0.0915690309896462	0.0851157979704869	0	0.0138286801384475	0.011025940795398	0.0842268397040136	0.0879106583584206	0.0872830901748785	0.0644012054376749	0.0562675464052918	0.0611857857990137	0.241148952655242	0.238933991174291	0.237598612762686	0.201036444044316	0.196862005784595	0.187976778900766	0.184915027730376	0.186447549169794	0.178353967619084	0.253906826440176	0.247186722516983	0.248582107231563	0.128878577574336	0.13308286809297	0.142187532260538
"BRC17_2"	0.173017581009637	0.255496357098619	0.259314908804658	0.0832687574378365	0.0939539501870927	0.0876064790289574	0.0138286801384475	0	0.0128767686753545	0.0907360913707918	0.0943532241027553	0.0937254189475978	0.0615125575350847	0.0547682242299893	0.0617846814645039	0.230017862871586	0.227750395970822	0.226397858851016	0.193434120735438	0.189229882812792	0.180373419285566	0.186150816911971	0.187619369680107	0.179540524250159	0.246338299937121	0.239562649313649	0.240974568255543	0.126570425415356	0.130722372891655	0.139776346221121
"BRC17_3"	0.171343281872897	0.251685439686338	0.256531327672684	0.0867417430876274	0.0974836544412691	0.0932171639705493	0.011025940795398	0.0128767686753545	0	0.0891866654910514	0.0927975756502889	0.0921677379978566	0.0626952789905053	0.0592093746669653	0.0624738408606463	0.235065579447682	0.232838599532804	0.231491262997979	0.194290251670399	0.190154529872733	0.181223378214835	0.188749555803575	0.190164790562539	0.182087751396924	0.247279704106822	0.240486738473262	0.241909428213049	0.124211300747446	0.126446605450381	0.135613718125979
"BRC30_1"	0.169564518783988	0.273403214487625	0.274233166796797	0.0867483840064337	0.0863821250776119	0.0910271217073472	0.0842268397040136	0.0907360913707918	0.0891866654910514	0	0.0174142281110571	0.019391354558661	0.149050168593557	0.138022242315716	0.144944260243367	0.301536026559451	0.299667637964047	0.298441493331569	0.27435099849867	0.269659173650565	0.261405631039955	0.226201300900906	0.222180701431785	0.22138532866579	0.32493746826215	0.319040493278566	0.320215152643829	0.149693858051814	0.146343306969572	0.15446396305697
