"sample"	"NMDS1"	"NMDS2"	"Group"
"BR_1"	-0.0253983498379938	-0.195462798757975	"BR"
"BR_2"	-0.296453233990326	-0.161121403291799	"BR"
"BR_3"	-0.29278796323385	-0.146825571675773	"BR"
"BRC1_1"	-0.029397964266698	-0.0753573540544359	"BRC1"
"BRC1_2"	-0.0191080771249495	-0.0813716136864384	"BRC1"
"BRC1_3"	-0.0317897482023645	-0.0545880176686905	"BRC1"
"BRC17_1"	0.0125313024292197	-0.0225888439585907	"BRC17"
"BRC17_2"	0.0125974494762115	-0.0237056265753091	"BRC17"
"BRC17_3"	-0.00154895411973391	-0.00799499129645653	"BRC17"
"BRC30_1"	-0.0871856777545517	-0.0375564503153909	"BRC30"
"BRC30_2"	-0.090270526835079	-0.039651487129736	"BRC30"
"BRC30_3"	-0.0902470149195437	-0.0416328652660378	"BRC30"
"BRC5_1"	0.0728138065267954	-0.0563178247881053	"BRC5"
"BRC5_2"	0.0773621162291292	-0.065023672880679	"BRC5"
"BRC5_3"	0.0654869008389697	-0.0542389139101673	"BRC5"
"PC1_1"	0.0342475244188599	0.223728498065062	"PC1"
"PC1_2"	0.0334760009757548	0.227223960165524	"PC1"
"PC1_3"	0.0307230510171256	0.230356522755516	"PC1"
"PC17_1"	0.16054109731464	-0.0325123930738284	"PC17"
"PC17_2"	0.156500359048439	-0.0372399208090636	"PC17"
"PC17_3"	0.157004639868559	-0.0404927545922854	"PC17"
"PC30_1"	0.125299744452016	-0.110194209297857	"PC30"
"PC30_2"	0.116556794870603	-0.111746108858539	"PC30"
"PC30_3"	0.120789257386895	-0.107335686615955	"PC30"
"PC5_1"	0.206924293471017	0.115541213514417	"PC5"
"PC5_2"	0.197080958552879	0.114407845225102	"PC5"
"PC5_3"	0.195267901349402	0.106910883740762	"PC5"
"PM_1"	-0.274080154565225	0.160713978763983	"PM"
"PM_2"	-0.269697841789677	0.164408955694996	"PM"
"PM_3"	-0.267237691586526	0.159666650577752	"PM"
