"sample"	"PC1"	"PC2"	"Group"
"BR_1"	-157.753412389842	-41.3056903215885	"BR"
"BR_2"	-223.940697972787	-132.920807614554	"BR"
"BR_3"	-226.566819022253	-131.609975619158	"BR"
"BRC1_1"	-128.234974611407	33.0342231127826	"BRC1"
"BRC1_2"	-124.666084813582	48.5289221246797	"BRC1"
"BRC1_3"	-130.155450996124	36.8714373500612	"BRC1"
"BRC17_1"	-76.3097031758718	2.77812855143774	"BRC17"
"BRC17_2"	-65.8359622808985	3.1562661830655	"BRC17"
"BRC17_3"	-69.1160246656114	-2.23760266474523	"BRC17"
"BRC30_1"	-136.022633742254	-14.5484516546344	"BRC30"
"BRC30_2"	-137.628733740321	-19.0466827692999	"BRC30"
"BRC30_3"	-136.480192269182	-24.7175216268458	"BRC30"
"BRC5_1"	-30.6851413577765	22.8998990972125	"BRC5"
"BRC5_2"	-37.3252260953859	26.2509230233106	"BRC5"
"BRC5_3"	-33.5322504714982	20.8383935251522	"BRC5"
"PC1_1"	235.738690805801	-123.335228644213	"PC1"
"PC1_2"	227.670519367371	-121.072537110164	"PC1"
"PC1_3"	227.185606615969	-113.76956866131	"PC1"
"PC17_1"	137.128150063848	121.655749185882	"PC17"
"PC17_2"	135.286991156965	119.169203464008	"PC17"
"PC17_3"	123.401973164067	136.226969254865	"PC17"
"PC30_1"	58.2856148659733	238.607763691619	"PC30"
"PC30_2"	47.5334810262849	227.629143280335	"PC30"
"PC30_3"	64.2945964818278	230.981130525336	"PC30"
"PC5_1"	219.442759835515	-125.745790192855	"PC5"
"PC5_2"	204.696287318893	-111.595509821684	"PC5"
"PC5_3"	213.781658599373	-112.789262109414	"PC5"
"PM_1"	-64.7420269181566	-53.732521326726	"PM"
"PM_2"	-63.4447124614106	-63.7430498349615	"PM"
"PM_3"	-52.0062823175259	-76.4579523975939	"PM"
