"sample"	"PC1"	"PC2"	"Group"
"BR_1"	-0.0921046953463706	-0.0336408551289065	"BR"
"BR_2"	-0.235202912152501	-0.0771904660574195	"BR"
"BR_3"	-0.252575331047205	-0.069704855918308	"BR"
"BRC1_1"	-0.0933594368960733	0.0204077805547556	"BRC1"
"BRC1_2"	-0.0870629043439386	0.0345461286671114	"BRC1"
"BRC1_3"	-0.0962956224932181	0.0262709749676359	"BRC1"
"BRC17_1"	-0.0499648710129999	0.0122149447983643	"BRC17"
"BRC17_2"	-0.0418541197289716	0.00622483946539662	"BRC17"
"BRC17_3"	-0.0449337914783191	0.00506938836231789	"BRC17"
"BRC30_1"	-0.106100473552986	0.0333801221903443	"BRC30"
"BRC30_2"	-0.105920986238233	0.0287174856570693	"BRC30"
"BRC30_3"	-0.105255160580498	0.0310701699875142	"BRC30"
"BRC5_1"	-0.00370659621971152	0.00169885241917316	"BRC5"
"BRC5_2"	-0.00708122299456351	0.00797202385474114	"BRC5"
"BRC5_3"	-0.00534654682791826	0.00173638465125882	"BRC5"
"PC1_1"	0.157313788589298	-0.0778159698070089	"PC1"
"PC1_2"	0.151514900106692	-0.0807025474663838	"PC1"
"PC1_3"	0.146828610411366	-0.0780606366406202	"PC1"
"PC17_1"	0.110078802410164	0.0551807414296058	"PC17"
"PC17_2"	0.11015898564951	0.0556421772016516	"PC17"
"PC17_3"	0.0966239287912908	0.0654203711060711	"PC17"
"PC30_1"	0.0580621465293565	0.155697305066279	"PC30"
"PC30_2"	0.0593714484331643	0.1557919223711	"PC30"
"PC30_3"	0.0577044926631055	0.147808344901721	"PC30"
"PC5_1"	0.168154352596041	-0.079356404609074	"PC5"
"PC5_2"	0.164094244147665	-0.0724250586366844	"PC5"
"PC5_3"	0.165450457982569	-0.0750592486268093	"PC5"
"PM_1"	-0.0418694943969692	-0.0588950935352034	"PM"
"PM_2"	-0.0448779121600166	-0.0655143931483496	"PM"
"PM_3"	-0.0318440808397307	-0.0764844280773446	"PM"
