"Type"	"PC1_1"	"PC1_2"	"PC1_3"	"PC17_1"	"PC17_2"	"PC17_3"	"PC30_1"	"PC30_2"	"PC30_3"
"Assimilatory sulfate reduction, sulfate to APS"	51.5863295	51.14308	52.2750875	127.3637205	133.1372265	130.29214	172.6264615	175.759301	176.998528
"Assimilatory sulfate reduction, APS to PAPS"	105.014409	109.740959	113.81581	36.925268	40.709546	41.483016	42.725778	44.155588	42.921525
"Assimilatory sulfate reduction, PAPS to sulfite"	226.635406	220.282503	208.344045	245.903979	238.538299	237.186067	221.1759	232.866826	226.947791
"Assimilatory sulfate reduction, sulfite to sulfide"	131.610646	132.7313365	130.8300045	91.130953	97.290367	92.696959	112.3270855	112.9367905	112.2182395
"Dissimilatory sulfate reduction and oxidation, sulfate to APS"	437.361711	431.750913	440.031628	184.680654	184.548633	177.822098	114.200136	109.854156	121.17846
"Dissimilatory sulfate reduction and oxidation, APS to sulfite"	0.2873595	0.2910085	0.3288255	0	0.0139395	0	0	0	0.006449
"Dissimilatory sulfate reduction and oxidation, sulfite to sulfide"	0.4122165	0.3676755	0.369684	0.087284	0.0363045	0.0424945	0.025376	0.0736005	0.0221925
"SOX system"	4.264154	4.8413505	4.246308	20.8424355	23.713841	22.0490035	44.016357	48.640861	47.3163665
"Sulfide cycling, sulfide to sulfur"	3.024563	2.3246325	2.5813185	3.937955	3.5318845	4.291928	6.045443	6.2499135	5.9223165
"Sulfide cycling, sulfide to (sulfide)n"	129.373938	122.440625	120.713029	185.413349	185.516099	170.378595	151.589702	152.134083	145.196522
"Sulfide cycling, thisulfate to sulfide"	16.178341	16.1452585	15.836981	0.7595725	0.5509575	0.678072	0.1201735	0.092936	0.1557425
"Sulfur mineralization"	243.947167	246.4685495	253.7423735	362.503554	362.3368005	369.8445875	415.3057185	395.140193	415.26172
"Sulfate uptake"	96.7857625	92.9807455	91.22629675	71.65005925	73.2704365	74.045515	70.8569655	71.22938875	70.700566
"Sulfite uptake"	106.343089666667	101.948016	104.996565333333	181.627063	179.692176666667	183.389902	189.407987333333	183.928613	183.400733333333
"Sulfur assimilation"	396.24326	394.309259	380.037261	371.837977	377.910559	355.126194	267.753931	262.784615	279.714029
