"PC1_1"	"PC1_2"	"PC1_3"	"PC17_1"	"PC17_2"	"PC17_3"	"PC30_1"	"PC30_2"	"PC30_3"
"K00299"	124.532455	128.102913	133.567696	115.29999	111.318265	119.334255	144.325095	133.016692	141.416756
"K00380"	104.514085	103.511069	102.728495	24.183533	26.322654	25.193796	21.472306	22.334649	21.703427
"K00381"	117.134615	122.518502	115.19062	40.954657	44.219058	44.97247	38.740141	41.250048	44.064616
"K00390"	226.635406	220.282503	208.344045	245.903979	238.538299	237.186067	221.1759	232.866826	226.947791
"K00392"	20.786296	19.716551	21.870447	58.561858	62.019511	57.613826	82.220862	81.144442	79.334218
"K00394"	0.27358	0.444185	0.59522	0	0.027879	0	0	0	0.012898
"K00395"	0.301139	0.137832	0.062431	0	0	0	0	0	0
"K00456"	4.143724	4.256839	4.211239	1.79783	2.869252	1.976735	1.835184	2.574358	2.43905
"K00860"	90.193939	93.413327	98.029686	17.064994	20.986878	19.682971	17.540002	20.208223	19.589343
"K00955"	14.82047	16.327632	15.786124	19.860274	19.722668	21.800045	25.185776	23.947365	23.332182
"K00956"	22.000507	20.546654	22.990481	96.381514	102.362332	95.526785	130.647626	133.264037	135.717209
"K00957"	51.531212	49.084242	49.987446	118.625379	124.466785	121.457405	164.233745	170.359835	171.615483
"K00958"	435.737935	431.013255	438.222179	184.58443	184.486628	177.666474	113.900546	109.53005	121.150033
"K00988"	1.623776	0.737658	1.809449	0.096224	0.062005	0.155624	0.29959	0.324106	0.028427
"K01738"	378.094231	376.321208	363.781389	329.698855	338.398114	316.010651	204.89911	202.458156	212.434663
"K01739"	0.879437	1.652622	0.826937	13.881046	13.431435	12.625294	26.553143	23.667032	29.152281
"K02045"	123.521184	116.115677	115.817829	92.174336	95.698929	96.309191	100.016215	97.990325	91.488461
"K02046"	130.829788	129.892483	118.863183	94.198164	96.21942	101.000069	89.855042	92.026606	92.208361
"K02047"	129.60235	123.791566	128.35139	98.680287	99.779588	97.01506	93.317138	94.842941	98.751588
"K02048"	3.189728	2.123256	1.872785	1.54745	1.383809	1.85774	0.239467	0.057683	0.353854
"K03119"	2.21338	2.33333	1.889072	31.36301	34.772014	36.005475	40.62347	33.840757	41.613446
"K04091"	65.852311	64.005798	64.343793	133.675185	132.27671	136.188409	161.973797	157.252022	161.524307
"K08352"	32.356682	32.290517	31.673962	1.519145	1.101915	1.356144	0.240347	0.185872	0.311485
"K10764"	17.269592	16.335429	15.428935	28.258076	26.08101	26.490249	36.301678	36.659427	38.127085
"K10831"	0	0	0.075012	4.667536	3.665613	4.17547	10.865092	9.359142	9.210694
"K11180"	0.47659	0.422621	0.404555	0.174568	0	0.084989	0	0.147201	0
"K11181"	0.347843	0.31273	0.334813	0	0.072609	0	0.050752	0	0.044385
"K15551"	4.756244	3.863063	4.033199	40.327676	44.009714	41.443166	47.241926	45.47622	46.372301
"K15552"	3.183485	3.29216	4.167381	41.30331	40.799205	39.606087	47.131073	51.359403	47.234953
"K15553"	106.749476	105.878493	107.278514	154.951631	151.870057	152.525216	145.75259	143.299834	143.709928
"K15554"	108.156424	104.338379	101.910165	189.717081	182.957759	191.942127	185.466242	178.560813	181.968155
"K15555"	96.18364	88.471953	97.525425	113.913955	115.774182	120.47764	131.767039	123.730427	121.706169
"K15762"	0.302003	0.180586	0.353083	0.171256	0	0.498554	0.799799	0.865247	0.455341
"K16969"	0	0.15229	0.13796	0	0	0	0	0	0
"K17217"	1.584677	1.399381	1.866059	1.797008	2.709301	2.308691	3.569041	3.324009	4.97895
"K17218"	129.373938	122.440625	120.713029	185.413349	185.516099	170.378595	151.589702	152.134083	145.196522
"K17222"	1.827743	2.388403	1.669848	9.014242	10.440549	9.343746	20.312867	19.362978	22.667181
"K17223"	0.682514	1.667132	1.627943	8.826811	9.755077	9.333139	17.682896	17.655295	17.891175
"K17224"	0.351405	0.410978	0.318621	4.413525	3.971391	3.812098	7.657926	9.40711	8.637854
"K17225"	0.167929	0.329639	0.116048	0.473875	0.479847	0.492689	0.881855	0.660033	0.479983
"K17226"	3.838481	3.167934	3.231912	7.720258	10.23292	9.96854	18.548128	24.028103	20.920864
"K17227"	1.140902	0.977998	1.093575	6.34876	8.09666	6.843008	14.409261	16.10106	14.917839
"K17228"	45.057402	45.836175	47.249309	78.397619	78.354954	73.739251	62.553856	64.626131	63.039348
"K17229"	2.14758	1.852691	2.298059	6.958469	6.105173	7.636516	11.67606	11.958763	11.585935
"K17230"	3.901546	2.796574	2.864578	0.917441	0.958596	0.94734	0.414826	0.541064	0.258698
