"Group"	"Sulfur assimilation"	"Sulfite uptake"	"Sulfate uptake"	"Sulfur mineralization"	"Sulfide cycling, thisulfate to sulfide"	"Sulfide cycling, sulfide to (sulfide)n"	"Sulfide cycling, sulfide to sulfur"	"SOX system"	"Dissimilatory sulfate reduction and oxidation, sulfite to sulfide"	"Dissimilatory sulfate reduction and oxidation, APS to sulfite"	"Dissimilatory sulfate reduction and oxidation, sulfate to APS"	"Assimilatory sulfate reduction, sulfite to sulfide"	"Assimilatory sulfate reduction, PAPS to sulfite"	"Assimilatory sulfate reduction, APS to PAPS"	"Assimilatory sulfate reduction, sulfate to APS"
"BR"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"BRC1"	0.871416697218376	3.03420171548836	1.16024778922201	3.97867812071645	0.309847334379731	0.763452284271343	0.423714229693826	0.783461855315714	0.291952972676781	0.31756961746662	1.34835563995389	1.198886001495	1.17954046836953	1.1728523672622	1.13841029594424
"BRC17"	0.942256252469705	3.97050055505016	1.24564767429933	3.44512383956118	0.799064665427234	0.908070890139303	0.224086269018219	0.968436719547947	0.680974346008034	0.00931228423871075	2.13492496252031	1.13958039917229	1.71443568706338	1.00518351271343	1.02271522071594
"BRC30"	0.848046968903125	2.76586451646827	1.28613944355733	2.67405175802483	1.13948029831334	0.524854502655309	0.250681112743066	1.48071414532488	2.733919279189	0	1.86923211437217	1.29306806073219	1.46337890187965	1.36268646698797	1.08013445075735
"BRC5"	1.06318604011926	4.68849036173637	1.05002364021002	4.23717746270537	0.0194676151194411	1.03403944018335	0.167180311801137	0.627880630496977	0.611395933449175	0	2.08272984638492	1.02209423747855	1.73068360675111	0.777430396505843	1.03768709172221
"PC1"	1.13759189644216	4.80545988910532	1.18419005551169	4.71243366173158	16.3673628319546	1.14835425696115	0.0949239141973595	0.12215967672392	0.883473037601416	0.631983821321177	7.4431165753979	2.02282904433743	2.02657373143825	1.71020233244487	0.334924219716515
"PC17"	1.07372929518633	8.35518973074479	0.922790078756334	6.93216970828266	0.67582595816823	1.66863719320516	0.140781922707569	0.609391382099334	0.12763823575297	0.00971076013805936	3.11025100944176	1.43900437875763	2.23182963532514	0.620004444521825	0.844401757802442
"PC30"	0.787412276392327	8.53968787588392	0.896749491956551	7.7618801431318	0.125354272158163	1.38384258414812	0.21805557984357	1.28065967316484	0.093120893697438	0.00449260677429928	1.96281472790779	1.7275228195207	2.10614622852153	0.675619840722266	1.13521818368294
"PC5"	1.57640536063132	5.09355333153726	0.970142267400356	3.97726102756065	2.39632500038658	2.33020768188644	0.0348362369969399	0.161161238270763	0.0540535243978448	0.0628268312214227	4.67729478335216	1.67474023859107	2.82388858337488	0.878907204562591	0.640482840880162
"PM"	1.07531655974455	1.86962621939189	0.696932970046971	3.12265177357509	10.1293364619904	1.29299447495092	0.337529057492838	0.531105687591782	7.35003200889025	7.78612990383982	2.27292573689438	1.48287531819393	1.33593926940203	1.48891639887759	0.743278379366093
