"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Steroidobacteraceae",0.0326223660871167,0.0053085960014689,0.528894371931863,0.720884743745945,0.476334607728997,0.0137711099955392,0.776409073147132,0.828465306358849,0.965479996649515,0.00051491774602475
"Pseudomonadaceae",0.714270216144809,0.240794672590313,0.00430022141694751,0,0.0104122882788147,0.246046338640353,0.00184612622919666,0.00163986541734876,0.00549271045415079,0.347389418956224
"Bacillaceae",0,0.00430038330570687,0.0371904158135102,0.0145426091734083,0,0.240472726903289,0.0286539402451561,0.00437001944338169,0.00068910981292652,0.472905437141663
"Ectothiorhodospiraceae",0.000847937337209911,0.210832264472732,0.182436081183612,0.0770117890794529,0.152046088556728,0.0525861338511002,0.0572718858281311,0.00989329592048958,0.00645043529999326,0.0154788382762187
"Ilumatobacteraceae",0.0079950170278688,0.30036631840166,0.0883871999401905,0.0071265104437183,0.230734848086529,0.00633568256293761,0.047864144104609,0.0215317628155654,0.00566556552922116,0.00301116736060049
"Sinobacteraceae",0.188157355363962,0.0680598276898097,0,0,0.0044856123483682,0.256091931967897,0,0,0,0.137166111637256
"norank",0.0292264302610142,0.00118574476406997,0.103097005169362,0.1582763685071,0.00257954707627596,0.00179038464781299,0.0501900307668059,0.0689165772061931,0.00352929727195191,0.000261116862095015
"Mycobacteriaceae",0.000135935017118425,0.0473318645696841,0.00855580480483653,0.00306378904613129,0.0379385135388891,0.0655050986790598,0.025547158859221,0.037397065832575,0.00805268868768967,0
"Rhodospirillaceae",0.00325679820407555,0.0199537011066675,0.0295447612514705,0.0109719825076896,0.0121358320501746,0.0336386818604625,0,0.0133239468114525,0.00079471021992861,0.00792808617946408
"Nocardioidaceae",0.0107528614346202,0.0435123159856476,0,0,0.0225941487963345,0.031121104009785,0,0,0.000635230918039859,0.0113908427726919
"Cohaesibacteraceae",0.00171239971416701,0.010113927305191,0.0121284902471498,0.00359807827136639,0.0208912457280204,0.0359800910567805,0.00790042840804829,0,0.000716543370617454,0.00346661066675296
"Phyllobacteriaceae",0,0.0318039947212265,0.000663385923671389,0.000493237741560084,0.0254776580162992,0.0145261634017685,0.00431721241170046,0.0144621601941448,0.00221895865110074,0.000487452401008696
"Thermoactinomycetaceae",0,0.0156555060913096,0.00108288298407689,0.00403089148362852,0.00369615803507718,0,0,0,0,0
"Hyphomicrobiaceae",0.0110226834080379,0.000780882994513746,0.00371937933330913,0,0.000673451759492245,0.0021345524232145,0,0,0.000274753134865068,0
