"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Nevskiales",0.220779721451079,0.0733684236912786,0.528894371931863,0.720884743745945,0.480820220077365,0.269863041963436,0.776409073147132,0.828465306358849,0.965479996649515,0.137681029383281
"Pseudomonadales",0.714270216144809,0.240794672590313,0.00430022141694751,0,0.0104122882788147,0.246046338640353,0.00184612622919666,0.00163986541734876,0.00549271045415079,0.347389418956224
"Bacillales",0,0.0199558893970165,0.0382732987975871,0.0185735006570368,0.00369615803507718,0.240472726903289,0.0286539402451561,0.00437001944338169,0.00068910981292652,0.472905437141663
"Chromatiales",0.000847937337209911,0.210832264472732,0.182436081183612,0.0770117890794529,0.152046088556728,0.0525861338511002,0.0572718858281311,0.00989329592048958,0.00645043529999326,0.0154788382762187
"Acidimicrobiales",0.0079950170278688,0.30036631840166,0.0883871999401905,0.0071265104437183,0.230734848086529,0.00633568256293761,0.047864144104609,0.0215317628155654,0.00566556552922116,0.00301116736060049
"norank",0,0.00118574476406997,0.0784562426021196,0.152738273447052,0.00257954707627596,0.00179038464781299,0.0284765349744766,0.0629895936081246,0.00312059154489122,0
"Corynebacteriales",0.000135935017118425,0.0473318645696841,0.00855580480483653,0.00306378904613129,0.0379385135388891,0.0655050986790598,0.025547158859221,0.037397065832575,0.00805268868768967,0
"Rhizobiales",0.0127350831222049,0.0426988050209312,0.0165112555041303,0.00409131601292647,0.0470423555038119,0.0526408068817635,0.0122176408197488,0.0144621601941448,0.00321025515658326,0.00395406306776166
"Rhodospirillales",0.00325679820407555,0.0199537011066675,0.0295447612514705,0.0109719825076896,0.0121358320501746,0.0336386818604625,0,0.0133239468114525,0.00079471021992861,0.00792808617946408
"Propionibacteriales",0.0107528614346202,0.0435123159856476,0,0,0.0225941487963345,0.031121104009785,0,0,0.000635230918039859,0.0113908427726919
"Myxococcales",0.0292264302610142,0,0.0246407625672426,0.00553809506004772,0,0,0.0217134957923292,0.00592698359806846,0.000408705727060681,0.000261116862095015
