"","PC1","PC17","PC30"
"norank",0.866592903241397,0.890900578451472,0.718764702244125
"Solirubrobacterales",0.00598446121013125,0.0363609243491118,0.189622996508286
"Rhizobiales",0.0119060654577002,0.0224194289079658,0.0648875389066535
"Streptosporangiales",0.00434898424801704,0.0419950827822682,0.0236644083189925
"Corynebacteriales",0.0557769540908855,0.00125250474049568,0.00137735732216391
"Bacillales",0.0240183594389051,0.000988119472576106,0.000395615084389794
"Chromatiales",0.0154489891830097,0.00492380332374462,0.000772948381062566
"Propionibacteriales",0.00907855737959559,0.00115955797236558,0.00051443323432665
"Micrococcales",0.00374345396793282,0,0
"Caulobacterales",0.00310127178242613,0,0
