"","PC1","PC17","PC30"
"Firmicutes bacterium",0.132423791560825,0.753395253387044,0.623518721921891
"Gammaproteobacteria bacterium",0.712686065139019,0.0695876475003019,0.0308233419430154
"Solirubrobacterales bacterium",0.00598446121013125,0.0363609243491118,0.189622996508286
"Actinobacteria bacterium",0.00894134136898806,0.045802303409282,0.0495587475280321
"Chelativorans sp. J32",0.00452429432155406,0.0224194289079658,0.0648875389066535
"Thermomonospora sp. CIF 1",0.00434898424801704,0.0419950827822682,0.0236644083189925
"Corynebacterium humireducens",0.0323058758386102,0.00088951751577999,0
"Mycolicibacterium cosmeticum",0.0234710782522753,0.000362987224715694,0.00137735732216391
"Acidimicrobiia bacterium",0.0125417051725652,0.0101527009573502,0.000796844558051953
"Alkalilimnicola ehrlichii",0.0154489891830097,0.00492380332374462,0.000772948381062566
"Bacillus alcalophilus",0.0154864149290457,0,0
"Acidobacteria bacterium",0,0.00196332245265678,0.00967794629261213
"Kyrpidia spormannii",0.00853194450985938,0.000988119472576106,0.000395615084389794
"Nocardioides szechwanensis",0.00907855737959559,0.000238287195959996,0.00051443323432665
"Planctomycetes bacterium Pla85_3_4",0,0.008361664243226,0.00128966616534265
"Pseudolabrys sp. GY_H",0.00738177113614611,0,0
"Bacteroidetes bacterium",0,0.00163768650161198,0.00309943383517945
"Lysinimicrobium aestuarii",0.00374345396793282,0,0
"Phenylobacterium hankyongense",0.00310127178242613,0,0
"Nocardioides iriomotensis",0,0.000618941687473265,0
"Nocardioides sp. J54",0,0.000302329088932317,0
"Demequina lutea",0,0,0
"Gemmatimonadetes bacterium",0,0,0
