"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"norank",0.0267369987174088,0.0107499205847202,0.346275094403119,0.560471067022533,0.294112380673002,0.0604970754015115,0.368489529874767,0.344453957646669,0.772887835388884,0.00753087742773866
"Corynebacteriales",0.0256626701386579,0.510031497325384,0.0905563587538678,0.0672216140857595,0.0944761863052559,0.509820381933338,0.0837900087753822,0.0675803856044871,0.0131157772636141,0.597971465874485
"Streptosporangiales",0,0.0256521901338088,0.336707950964549,0.130950466961515,0.498213784185819,0.0541645923185901,0.347872867966321,0.473620567300215,0.106116083344893,0.0102433346302513
"Bacillales",0,0.0556601679266371,0.0911601185053349,0.0412993210528631,0.0282926548815854,0.234892327654971,0.163876522203753,0.0825648471815079,0.0970332077779201,0.0182119459980105
"Marinilabiliales",0.527549391831583,0.097774703508783,0,0,0.000184246899720345,0.0257200921681633,0,0,0.000219347614260722,0.0901048379544483
"Chromatiales",0.000199611409056655,0.000486209710285569,0.121382873974995,0.196475684001322,0.0618955562204093,0,0.0133037853401194,0.02852147371951,0.00704518529548499,0
"Neisseriales",0.113993827463804,0.0188771814788351,0,0,0,0.0141701633756889,0,0,0,0.200632883080756
"Micrococcales",0,0.143761874664224,0.00113791117646304,0,0.0200216861494901,0.0930511077380083,0.00128189329247328,0,0.00358256331494321,0.00139198234389436
"Sphingomonadales",0.0472153568385919,0.122468600921544,0.000892057662144998,0.000465669253327701,0,0.00393071322952611,0,0,0,0.0589327234279054
"Cytophagales",0.115343293431543,0,0.0116957462361365,0.00311617762267923,0.00280350468471859,0,0.0213853925471841,0.00325876854761148,0,0.00951828348566488
"Burkholderiales",0.0923889520163291,0.0111688388521402,0,0,0,0.00375354618020202,0,0,0,0.00262672545598895
"Pseudomonadales",0.0319710940172409,0.00167806702379406,0.000191888323389405,0,0,0,0,0,0,0.00283494032085685
"Xanthomonadales",0.0189388041357852,0.00169074786984304,0,0,0,0,0,0,0,0
