"","PC1","PC17","PC30"
"Acidimicrobiia",0.082458068235612,0.681525410054503,0.728683004091706
"Actinobacteria",0.715423032191948,0.0653288286369539,0.0501564641192839
"norank",0.0315140986093048,0.123925963214738,0.124638564346844
"Gammaproteobacteria",0.0914000563112423,0.0929707026484276,0.0599408918711639
"Alphaproteobacteria",0.0472844694074909,0.00590329868920935,0.00363404599532396
"Nitriliruptoria",0.00198077717077605,0.0183692093833533,0.0213596730511962
"Caldilineae",0,0.0114452166757645,0.010753787108194
"Thermoleophilia",0.0143381383530784,0.000531370697051002,0.000833569416287601
"Acidobacteriia",0.0135132370954262,0,0
"Betaproteobacteria",0.00208812262512148,0,0
