"","PC1","PC17","PC30"
"norank",0.127691629254756,0.834472351960203,0.896830567197092
"Dietziaceae",0.253929153031473,0.00329242185743751,0.00108030267595465
"Mycobacteriaceae",0.203819409708292,0.0090123525412845,0.00745468006874787
"Corynebacteriaceae",0.154559663617678,0.00021812108216126,0
"Steroidobacteraceae",0,0.0928209386882475,0.0598817275282546
"Pseudomonadaceae",0.0914000563112423,0.000149763960180145,5.91643429093361e-05
"Nocardioidaceae",0.0580524474935481,0.00534428967809305,0.00143813432856796
"Micromonosporaceae",0.00547900137271545,0.0290177419099351,0.0162542605179196
"Demequinaceae",0.0259407724678591,0.000108121823286652,0
"Caldilineaceae",0,0.0114452166757645,0.010753787108194
"Nocardiaceae",0.0136425845003821,0.00238331727561649,0.00105965078848476
"Rhodospirillaceae",0.0138015399990305,0,0.000961423479901191
"Caulobacteraceae",0.00971098203300086,0.00407575877328728,0.00084119902292187
"Acidobacteriaceae",0.0135132370954262,0,0
"Phyllobacteriaceae",0.0121781226354349,0,0
"Ilumatobacteraceae",0.00259945311401514,0.00583206385858113,0.00155367944855157
"Bradyrhizobiaceae",0.00972215489854522,0,0
"Rhizobiaceae",0.00187166984147938,0.00135921719923051,0.0018314234925009
"Zoogloeaceae",0.00208812262512148,0,0
"Rhodobacteraceae",0,0.000468322716691564,0
"Candidatus Competibacteraceae",0,0,0
"Sphingomonadaceae",0,0,0
