"","PC1","PC17","PC30"
"norank",0.129779751879878,0.834472351960203,0.896830567197092
"Dietzia",0.253929153031473,0.00329242185743751,0.00108030267595465
"Mycolicibacterium",0.203819409708292,0.0090123525412845,0.00745468006874787
"Corynebacterium",0.154559663617678,0.00021812108216126,0
"Steroidobacter",0,0.0928209386882475,0.0598817275282546
"Pseudomonas",0.0914000563112423,0.000149763960180145,5.91643429093361e-05
"Micromonospora",0.00547900137271545,0.0290177419099351,0.0162542605179196
"Aeromicrobium",0.0337084064296575,0.0051648560800967,0.00143813432856796
"Demequina",0.0259407724678591,0.000108121823286652,0
"Nocardioides",0.0243440410638906,0.000179433597996351,0
"Litorilinea",0,0.0114452166757645,0.010753787108194
"Rhodococcus",0.0136425845003821,0.00238331727561649,0.00105965078848476
"Azospirillum",0.0138015399990305,0,0.000961423479901191
"Caulobacter",0.00971098203300086,0.00407575877328728,0.00084119902292187
"Acidobacterium",0.0135132370954262,0,0
"Chelativorans",0.0121781226354349,0,0
"Ilumatobacter",0.00259945311401514,0.00583206385858113,0.00155367944855157
"Bradyrhizobium",0.00972215489854522,0,0
"Shinella",0.00187166984147938,0.00135921719923051,0.0018314234925009
"Paracoccus",0,0.000468322716691564,0
"Candidatus Contendobacter",0,0,0
"Sphingobium",0,0,0
