"","PC1","PC17","PC30"
"norank",0.111372713730902,0.815571771879799,0.874637324729608
"Corynebacteriales",0.625950810857825,0.0149062127564998,0.00959463353318729
"Nevskiales",0,0.0928209386882475,0.0598817275282546
"Pseudomonadales",0.0914000563112423,0.000149763960180145,5.91643429093361e-05
"Propionibacteriales",0.0580524474935481,0.00534428967809305,0.00143813432856796
"Micromonosporales",0.00547900137271545,0.0290177419099351,0.0162542605179196
"Nitriliruptorales",0.00198077717077605,0.0183692093833533,0.0213596730511962
"Rhizobiales",0.0237719473754595,0.00135921719923051,0.0018314234925009
"Micrococcales",0.0259407724678591,0.000108121823286652,0
"Caldilineales",0,0.0114452166757645,0.010753787108194
"Solirubrobacterales",0.0143381383530784,0.000531370697051002,0.000833569416287601
"Rhodospirillales",0.0138015399990305,0,0.000961423479901191
"Caulobacterales",0.00971098203300086,0.00407575877328728,0.00084119902292187
"Acidobacteriales",0.0135132370954262,0,0
"Acidimicrobiales",0.00259945311401514,0.00583206385858113,0.00155367944855157
"Rhodocyclales",0.00208812262512148,0,0
"Rhodobacterales",0,0.000468322716691564,0
"Sphingomonadales",0,0,0
