"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"norank",0.00335264521524687,0.000933595779393003,0.803984918771619,0.599128442427782,0.787627226465329,0.00610588751559777,0.722477178394129,0.713891777355305,0.624361866489334,0
"Bacillaceae",0.00402177381086539,0.813332667680591,0.023676354882519,0.0939646719541544,0.0846655616082098,0.666282079610512,0.0121578174760032,0.0365254469632473,0.00943533837288439,0.498897784808934
"Paenibacillaceae",0,0.0150972348539733,0.115835348892729,0.132847202100707,0.0802957516690773,0.00897182530097862,0.231856938485724,0.235868372209636,0.346079038271759,0
"Alcaligenaceae",0.871313775986988,0.0205130299997773,0,0,0,0.00410905038268064,0,0,0.00267116791862397,0.192949130879066
"Ectothiorhodospiraceae",0.00387247919894684,0.0426742120050161,0.049298888067599,0.157774754341198,0.0222210380866726,0.0969314290366863,0.0328241210625435,0.0137144034718114,0.0116668180467532,0.0249623008655603
"Micrococcaceae",0.0636935248393903,0.0366892396668903,0.00386192377574,0.0162849291761584,0.025190422170711,0.125937430949377,0.000683944581599596,0,0.00379670854717809,0.0528535545247472
"Zoogloeaceae",0.0212052119189902,0.0484956233897574,0,0,0,0.0449681823403655,0,0,0.00118750156540422,0.178634188409977
"Sinobacteraceae",0.0291727031425937,0.00308622821182296,0.00334256560979367,0,0,0.0127779978860518,0,0,0,0.0281474044239797
"Vahlkampfiidae",0.00336788588697891,0.00103701392770662,0,0,0,0.0339161169777505,0,0,0.000801560788062643,0.0235556360877361
"Bacillales Family X. Incertae Sedis",0,0.0181411544850717,0,0,0,0,0,0,0,0
