"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"norank",0.00335264521524687,0.000933595779393003,0.919298432143359,0.731975644528489,0.866959089076661,0.0117916622104552,0.951102251595427,0.947045542272117,0.96854471921258,0
"Bacillus",0.00402177381086539,0.813332667680591,0.023676354882519,0.0939646719541544,0.0846655616082098,0.666282079610512,0.0121578174760032,0.0365254469632473,0.00943533837288439,0.498897784808934
"Paenalcaligenes",0.533460147017934,0.0116936286839185,0,0,0,0.00410905038268064,0,0,0.00267116791862397,0.1809119154276
"Spiribacter",0.00387247919894684,0.0426742120050161,0.049298888067599,0.157774754341198,0.0222210380866726,0.0969314290366863,0.0328241210625435,0.0137144034718114,0.0116668180467532,0.0249623008655603
"Alcaligenes",0.337853628969054,0.000572654145237683,0,0,0,0,0,0,0,0.00168125326718483
"Enteractinococcus",0.0636935248393903,0.0366892396668903,0.00386192377574,0.0162849291761584,0.025190422170711,0.125937430949377,0.000683944581599596,0,0.00379670854717809,0.0528535545247472
"Thauera",0.0212052119189902,0.0484956233897574,0,0,0,0.0449681823403655,0,0,0.00118750156540422,0.178634188409977
"Hydrocarboniphaga",0.0291727031425937,0.00308622821182296,0.00334256560979367,0,0,0.0127779978860518,0,0,0,0.0281474044239797
"Naegleria",0.00336788588697891,0.00103701392770662,0,0,0,0.0339161169777505,0,0,0.000801560788062643,0.0235556360877361
"Brevibacillus",0,0.0150972348539733,0.000521835520989357,0,0.000963889057745763,0.00328605060612118,0.00323186528442671,0.00271460729282406,0.00189618554851312,0
"Castellaniella",0,0.00824674717062108,0,0,0,0,0,0,0,0.0103559621842804
"Thermicanus",0,0.0181411544850717,0,0,0,0,0,0,0,0
