"","PC1","PC17","PC30"
"Firmicutes bacterium",0,0.722971650937438,0.713891777355305
"Bacillus sp. P1(2020)",0.860187466949341,0.00535848402992674,0.0348254354194023
"Paenibacillaceae bacterium ZCTH02-B3",0.00736322543939823,0.228781547100807,0.233153764916812
"Spiribacter sp. E85",0.125528710239907,0.0328465863072724,0.0137144034718114
"Brevibacillus sp. WF146",0.00425552061358072,0.00323407721401371,0.00271460729282406
"Bacillus sp. A134",0.00266507675777347,0.00197974349895697,0.00170001154384497
"Bacillus kyonggiensis",0,0.00482791091158483,0
"Bacillus kwashiorkori",0,0,0
"Calditrichaeota bacterium",0,0,0
"Castellaniella defragrans",0,0,0
"Chromatiales bacterium",0,0,0
"Thermicanus aegyptius",0,0,0
