"","PC1","PC17","PC30"
"norank",0.141149821225633,0.590472288677696,0.659522125185509
"Actinobacteria",0.215883633806576,0.17262320680897,0.107188004717123
"Gammaproteobacteria",0.202830921711879,0.121000255593285,0.119027675014046
"Bacilli",0.169740907687267,0.0585460898519154,0.0287103296577163
"Alphaproteobacteria",0.19872520798323,0.0166670106545706,0.00885992549444891
"Nitriliruptoria",0.00247790520003615,0.020634140723803,0.0466457776915898
"Sphingobacteriia",0.0387332840541353,0,0
"Flavobacteriia",0.0277376342027965,0,0.00289015157501456
"Candidatus Thermofonsia",0,0.00445606891395042,0.0146394052894265
"Thermoleophilia",0.00272068412844631,0.00935328164535512,0.00640154740738493
"Clostridia",0,0.00551809711844314,0.00495465337747218
"Betaproteobacteria",0,0.000729560012011967,0.00116040459026845
"Gemmatimonadetes",0,0,0
