"","PC1","PC17","PC30"
"norank",0.152224131275461,0.702385867030732,0.790740273114037
"Steroidobacteraceae",0,0.102250143884904,0.091353065021896
"Paenibacillaceae",0.105926176553927,0.0585460898519154,0.0287103296577163
"Pseudomonadaceae",0.180689492156685,0.000872576803767718,0
"Bradyrhizobiaceae",0.141278989551572,0.00227926435252951,0
"Mycobacteriaceae",0.0499773781113377,0.035696947628721,0.0395055283298215
"Dietziaceae",0.104245593786882,0.000347996502958339,0
"Thermomonosporaceae",0,0.069255475537071,0.0238143403276659
"Bacillaceae",0.0638147311333405,0,0
"Sphingobacteriaceae",0.0387332840541353,0,0
"Phyllobacteriaceae",0.0125329010988111,0.0143877463020411,0.00885992549444891
"Ectothiorhodospiraceae",0.0221414295551947,0.00828593954177835,0.00104097236584876
"Flavobacteriaceae",0.0277376342027965,0,0.00289015157501456
"Rhodobiaceae",0.0287775176689109,0,0
"Intrasporangiaceae",0.0111884871800437,0.00114707313820706,0.0106799899541535
"Dermabacteraceae",0.0165645304299919,0.000250707804593485,0
"Rhodospirillaceae",0.0161357996639357,0,0
"Bogoriellaceae",0.010651418877454,0.0014991809605416,0.00240542415939776
"Demequinaceae",0.010730514866516,0.0013725117366894,0
"Nocardioidaceae",0.00664998983300592,0.00142247892355046,0
