"","PC1","PC17","PC30"
"norank",0.274286107493323,0.760931956882647,0.819450602771753
"Steroidobacter",0,0.102250143884904,0.091353065021896
"Pseudomonas",0.180689492156685,0.000872576803767718,0
"Bradyrhizobium",0.141278989551572,0.00227926435252951,0
"Mycolicibacterium",0.0499773781113377,0.035696947628721,0.0395055283298215
"Dietzia",0.104245593786882,0.000347996502958339,0
"Thermomonospora",0,0.069255475537071,0.0238143403276659
"Pseudogracilibacillus",0.0638147311333405,0,0
"Sphingobacterium",0.0387332840541353,0,0
"Aminobacter",0.0125329010988111,0.0143877463020411,0.00885992549444891
"Alkalilimnicola",0.0221414295551947,0.00828593954177835,0.00104097236584876
"Flavobacterium",0.0277376342027965,0,0.00289015157501456
"Lutibaculum",0.0287775176689109,0,0
"Ornithinicoccus",0.0111884871800437,0.00114707313820706,0.0106799899541535
"Brachybacterium",0.0165645304299919,0.000250707804593485,0
"Georgenia",0.010651418877454,0.0014991809605416,0.00240542415939776
"Demequina",0.010730514866516,0.0013725117366894,0
"Nocardioides",0.00664998983300592,0.00142247892355046,0
