"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"norank",0.086774050461461,0.151383875142965,0.515445062330724,0.664432794228323,0.468980743086486,0.0501322582593381,0.59363660651495,0.71916632563912,0.561259369725536,0.0200653464719576
"Corynebacteriales",0.0372632507283331,0.178500838252872,0.048792627410203,0.0394953447449041,0.0939392602724218,0.541434671221634,0.0445063591020031,0.0393607806905677,0.0496204378489213,0.489288087906138
"Pseudomonadales",0.476729723865633,0.0792932537355384,0.000434027604114071,0,0.0010974180208661,0.0661926428448103,0.000774829410253598,0,0.000287121515740685,0.159173006224748
"Nevskiales",0,0.00120528149430722,0.0779445717975447,0.119713921510715,0.0669639834221654,0,0.0907959257484181,0.0896452381370256,0.243698205949016,0
"Clostridiales",0.189209937280758,0.0513158898494975,0.0123280029086963,0.00285287514570552,0.0156023975981817,0.130756677798752,0.00658117117947478,0.00486202714493983,0.0163715850048465,0.154617770231583
"Rhizobiales",0.0246575037882855,0.181517070712413,0.0208365490508402,0.0255114578106218,0.0598993885960034,0.0591651751420464,0.041040283267178,0.0188423835094116,0.00979280633620534,0.0155073778809607
"Streptosporangiales",0,0,0.0920727583741747,0.0275216745084373,0.190492000630019,0,0.0614973708165476,0.023369136101105,0.0454589602720683,0
"Bacillales",0,0.129918093638097,0.0169223097321444,0.00931329669108059,0.0164292770166306,0.051906109562387,0.0519876669615086,0.028173595911003,0.0630340577456183,0.0206964525708873
"Micrococcales",0.00664754357027291,0.0595272232840547,0.117796137457877,0.0222512348234406,0.0344313271269657,0.0267131406495146,0.0632247023309955,0.0187038029617425,0.00423547741305685,0.00828390936449704
"Nitriliruptorales",0,0,0.0197056488523586,0.0565651047963279,0.00450116678021813,0.000757733775262079,0.0183226725934947,0.0457737444085435,0.00131219768730286,0
"Chromatiales",0.00011361255220648,0.0305846201881651,0.0338090433050231,0.0105354718315343,0.0280959876350682,0.00677076306483083,0.00735773587016205,0.00102151160016588,0.000549292144488478,0.00330907952979367
"Sphingomonadales",0.0298056449832268,0.0308547499188282,0.000504941388864326,8.75848249308672e-05,0.000484526027740915,0.0111163382807157,0,0,0.000474274296729094,0.0320503965624048
"Alteromonadales",0.0173462431721841,0.0107763729177358,0,0,0.000284770024467176,0.0184140234959837,0,0,0,0.0477908076309085
"Bacteroidales",0.0750203710856831,0.00943743378539516,0.00012568806608106,0,0.0006397289109576,0.00274827081847561,0,0,0.000113633138914511,0.00158747859928119
"Cytophagales",0.0203711441530829,0.0283804997606179,0.00139241016902442,0.00142244584679273,0.000238280407956593,0.00260208123854904,0.0100581993034985,0.000494114014923698,0.000403059586479019,0.00252192602055801
"Flavobacteriales",0.00112029077924534,0.0129909606841367,0,0.000202760129468354,0,0.00848206068618644,0,0.00283612078184984,0,0.014621079292742
"Solirubrobacterales",7.2085553791905e-05,0.000740271051551409,0.0115417493981331,0.00480380822473964,0.00685259870379514,0.000831974627565721,0.00830551267225245,0.00628187178659996,0,0
"Gemmatimonadales",0,0,0.0237405093179451,0.0117229266642044,0.00240085368801959,0,0,0,0,0
"Cellvibrionales",0.0167946264313878,0.00618461051246394,0.000166385007003814,0.000352091673104508,0.000378904761268398,0.00316378504838542,0,0.000330636249448397,0.000366610931238287,0.00713652597939544
"Sphingobacteriales",0,0.0107812982132794,0.000207659045784236,0,0,0.0118444876560291,0,0,0.000832038131316937,0.0106736143908026
"Propionibacteriales",0.00137017832944909,0.0126965287750504,0.0011633561819969,0,0.00493047068857311,0.00203354103358938,0.00126313065013149,0,0.000920113417858282,0.00102739708097378
"Burkholderiales",0.000178894322578141,0.00746656852134572,0.00507056260146727,0.00321520654566962,0.0022687334771523,0,0.000647833579131357,0.00113871106355304,0.000186926129359066,0
"Xanthomonadales",0.00642310908015341,0.00357886857222655,0,0,0,0,0,0,0,0.00610781541442179
"Rhodospirillales",0.00068198360967511,0.00286569098945933,0,0,0.00108818312504289,0.00493426479594467,0,0,0.00108383272530448,0.00458181337745611
"Anaerolineales",0.00941980625259298,0,0,0,0,0,0,0,0,0.000960115470491025
