"","PC1","PC17","PC30"
"Proteobacteria bacterium",0.0500947365127393,0.264708049649165,0.346386102943823
"bacterium",0,0.279970349495368,0.296481196259263
"Steroidobacter sp. JW-3",0,0.102250143884904,0.091353065021896
"Paenibacillaceae bacterium JTherm",0.105926176553927,0.0585460898519154,0.0287103296577163
"Pseudomonas formosensis",0.164396154200485,0,0
"Planctomycetes bacterium",0.0895194023114855,0.0404634624942522,0.00903319599084944
"Dietzia alimentaria",0.104245593786882,0.000347996502958339,0
"Mycolicibacterium thermoresistibile",0.0499773781113377,0.0316759570208234,0.0209873202635935
"Actinobacteria bacterium",0.00587572072134496,0.0616308345766379,0.0307827219460844
"Thermomonospora sp. CIF 1",0,0.069255475537071,0.0238143403276659
"Bradyrhizobium canariense",0.0716541241781752,0.000849667660333226,0
"Bradyrhizobium sp. CCH10-C7",0.0696248653733971,0.00142959669219628,0
"Nitriliruptorales bacterium",0.00247790520003615,0.020634140723803,0.0466457776915898
"Pseudogracilibacillus auburnensis",0.0638147311333405,0,0
"Sphingobacterium sp. T2",0.0387332840541353,0,0
"Gammaproteobacteria bacterium",0,0.00959159536283461,0.0266336376263012
"Alkalilimnicola ehrlichii",0.0221414295551947,0.00828593954177835,0.00104097236584876
"Flavobacterium columnare",0.0277376342027965,0,0.00289015157501456
"Lutibaculum baratangense",0.0287775176689109,0,0
"Ornithinicoccus hortensis",0.0111884871800437,0.00114707313820706,0.0106799899541535
"Mycolicibacterium hassiacum",0,0.00402099060789758,0.018518208066228
"Aminobacter sp. J44",0.00949853491567147,0.00531214031122793,0.00556879238567957
"Candidatus Thermofonsia Clade 2 bacterium",0,0.00445606891395042,0.0146394052894265
"Solirubrobacterales bacterium",0.00272068412844631,0.00935328164535512,0.00640154740738493
"Pseudomonas aeruginosa",0.0162933379561997,0.000872576803767718,0
"Brachybacterium ginsengisoli",0.0165645304299919,0.000250707804593485,0
"Rhodospirillaceae bacterium SYSU D60006",0.0161357996639357,0,0
"Aminobacter sp. J15",0.00303436618313959,0.00907560599081316,0.00329113310876934
"Georgenia satyanarayanai",0.010651418877454,0.0014991809605416,0.00240542415939776
"Demequina aestuarii",0.010730514866516,0.0013725117366894,0
"Clostridiales bacterium",0,0.00551809711844314,0.00495465337747218
"Firmicutes bacterium",0.00153568240140827,0.00318730222543238,0.00372966115760564
"Nocardioides sp.",0.00664998983300592,0.00142247892355046,0
"Bacteroidetes bacterium",0,0.00214312481347801,0.00389196883396816
"Burkholderiales bacterium",0,0.000729560012011967,0.00116040459026845
"Gemmatimonadales bacterium",0,0,0
