"","PC1","PC17","PC30"
"norank",0.0269456747574998,0.681127147480346,0.757166711733087
"Nocardiopsaceae",0.0589049172171629,0.0933746988282751,0.134299302313899
"Nocardioidaceae",0.178258884747767,0.00399846370142619,0.00293508441776456
"Thermomonosporaceae",0.01257474464083,0.0883451186536542,0.047648995692076
"Paenibacillaceae",0.00743245535306924,0.0981452433651769,0.0264981639223921
"Corynebacteriaceae",0.111791344281987,0,0
"Mycobacteriaceae",0.0313274679767255,0.0281502029830507,0.0310492257108858
"Bradyrhizobiaceae",0.0852644419965283,0.000447207082622579,0
"Demequinaceae",0.073535525711315,0.000868110441629975,0
"Nocardiaceae",0.0730223486443211,0,0
"Dermabacteraceae",0.0677773713500725,0.000444308769534488,0
"Dietziaceae",0.0513475532774567,0,0
"Streptosporangiaceae",0.0444842866312838,0.00361080775871934,0
"Microbacteriaceae",0.0420135947876041,0,0
"Beijerinckiaceae",0.0381628602856699,0,0
"Bogoriellaceae",0.038130515535867,0,0
"Micrococcaceae",0.0373155856201028,0,0
"Bacillaceae",0.0217104271847366,0,0
"Phyllobacteriaceae",0,0.00148869093556434,0
"Solirubrobacteraceae",0,0,0.000402516209895635
"Zoogloeaceae",0,0,0
