"","PC1","PC17","PC30"
"Thermobispora",0,0.668931650185729,0.745319716455426
"Thermobifida",0.0589049172171629,0.0933746988282751,0.134299302313899
"norank",0.0997476583584487,0.106359640568198,0.0383451592000525
"Thermomonospora",0,0.0883451186536542,0.0471969980009519
"Nocardioides",0.120964367919162,0.00399846370142619,0.00293508441776456
"Corynebacterium",0.111791344281987,0,0
"Mycolicibacterium",0.0313274679767255,0.0281502029830507,0.0310492257108858
"Bradyrhizobium",0.0852644419965283,0.000447207082622579,0
"Lysinimicrobium",0.073535525711315,0.000868110441629975,0
"Rhodococcus",0.0730223486443211,0,0
"Brachybacterium",0.0677773713500725,0.000444308769534488,0
"Marmoricola",0.0572945168286052,0,0
"Dietzia",0.0513475532774567,0,0
"Planobispora",0.0444842866312838,0.00361080775871934,0
"Georgenia",0.038130515535867,0,0
"Enteractinococcus",0.0373155856201028,0,0
"Alkalibacillus",0.0217104271847366,0,0
"Leucobacter",0.0148069268253944,0,0
"Actinomadura",0.01257474464083,0,0.000451997691124101
"Paenibacillus",0,0.00398110009159633,0
"Mesorhizobium",0,0.00148869093556434,0
"Solirubrobacter",0,0,0.000402516209895635
"Thauera",0,0,0
