"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Streptosporangiales",0.0411733065557662,0.0679332689728999,0.531004313280171,0.396460917280355,0.584706648924207,0.0267974566565533,0.183264683719331,0.181438601622209,0.375722593907889,0.017742321043964
"Corynebacteriales",0.12381926292723,0.287512751263814,0.121032462015378,0.0840406248528776,0.123552761171026,0.704718943017351,0.0359824198063329,0.0331323795458551,0.13283088204601,0.676433396982132
"norank",0.0172612551528352,0.0750671197391071,0.100241894451351,0.0616695501687658,0.0794787256107833,0.00535935534489633,0.673534398826694,0.75504564141197,0.028359933491556,0.0128027582610397
"Bacillales",0.00412177220334989,0.018504978264535,0.120523103671478,0.0384508180631424,0.0559477749995006,0.00579636860833125,0.0970511860115977,0.0264239339434602,0.386905302965905,0.00256046647032691
"Micrococcales",0.243300151328036,0.167130233251538,0.00752960443604095,0.0157203353927047,0.0612469481174919,0.105186432928336,0.00369776074468602,0.000337643681020122,0.022095693220226,0.0697802796144561
"Solirubrobacterales",0,0,0.0791380632524344,0.398621781291266,0.00115171569539984,0,0,0.000401388631023839,0,0
"Pseudomonadales",0.296385435095627,0.0614629810754252,0.0031619103206483,0,0,0.0250429442481329,0,0,0,0.0685235330413567
"Propionibacteriales",0.0187110961626832,0.210174782135711,0.0195391637025188,0.000792365871700207,0.0880661134669731,0.055740909687395,0.00455523296600101,0.00322041116446104,0.040045892051719,0.0060789713149119
"Burkholderiales",0.0742086025777839,0.0535213857595136,0.00284592964047633,0,0.000800341575617575,0.0184431312922156,0,0,0,0.117712381854412
"Erysipelotrichales",0.0794388970281999,0.0121533940959125,0.00142193497242937,0,0,0.018185933910498,0,0,0,0.0127157606609719
"Rhizobiales",0.033732989977952,0.0259641926318182,0.0135616202570743,0.00424360707918811,0.00504897043900074,0.0245490520517813,0.0019143179253576,0,0.0096587657352287,0
"Lactobacillales",0.0485332824972171,0.00666959929014977,0,0,0,0.0101794722545088,0,0,0,0.00738965146847062
"Rhodocyclales",0,0.0129265556694946,0,0,0,0,0,0,0,0.00826047928795838
"Myxococcales",0.0126463699769621,0,0,0,0,0,0,0,0,0
"Verrucomicrobiales",0.00666757851635839,0.000978757850081767,0,0,0,0,0,0,0.00438093658146589,0
