"","PC1","PC17","PC30"
"norank",0.0357658666425859,0.533348293977754,0.478922430910832
"Bacillaceae",0.823340141645549,0.00899972089304,0.000419303461130101
"Streptomycetaceae",0.000400462781065347,0.133648005963235,0.213176663241684
"Pseudonocardiaceae",0.00270534362167311,0.135750679953573,0.171981254663693
"Thermomonosporaceae",0.000574762073727479,0.104105536960908,0.0448030809454969
"Nocardiopsaceae",0.00417344276930121,0.0336005639783943,0.0564991591854673
"Paenibacillaceae",0,0.0307516494802947,0.00585185325118139
"Mycobacteriaceae",0.00390229226590512,0.00884116233908833,0.02215718975334
"Bradyrhizobiaceae",0.0338002407071297,0.000323186334848858,0
"Pseudomonadaceae",0.0289801591691081,0.00171077948682904,0
"Dietziaceae",0.0267398232330472,0.000171678414753046,0
"Intrasporangiaceae",0.00696480434933416,0.00213303949493908,0.00483753602824145
"Corynebacteriaceae",0.0107827229898291,0,0
"Microbacteriaceae",0.0102665862220298,0.000187129116966477,9.09876333937777e-05
"Cellulomonadaceae",0.00476359386492799,0.00261933307563654,0.00048205227102899
"Rhodospirillaceae",0.00425794213781932,0.00100414714151162,0.000164407335120228
"Bogoriellaceae",0.00182111808682287,0.000611355167209398,0
"Nocardioidaceae",0,0.00184129692096753,0.000182526782102685
"Kallotenuaceae",0.000760697440145023,0.000352441300051139,0.000431554537287528
