"","PC1","PC17","PC30"
"norank",0.0252402227955472,0.510975354658639,0.554340841363062
"Betaproteobacteria",0.524955626114447,0.180915557404613,0.115636067219565
"Alphaproteobacteria",0.110056491537809,0.0704703033754566,0.181326271969695
"Gammaproteobacteria",0.176337152706664,0.084591719370504,0.0356963452448994
"Actinobacteria",0.151157964038589,0.0501695479586588,0.0279736090349652
"Thermoleophilia",0.00299575453789787,0.0583518361678036,0.0277688038882945
"Bacilli",0.00925678826904487,0.0204027271488357,0.0176658437091902
"Planctomycetia",0,0.0231675252250335,0.0159409498540411
"Vicinamibacteria",0,0.000955428690455483,0.0236512677162887
"Deltaproteobacteria",0,0,0
