"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"norank",0.0479990302639589,0.325084127510454,0.427806079311114,0.515020766917465,0.450888023742214,0.04673399825808,0.589375410892941,0.622759634293613,0.562234143713416,0.0351601692348451
"Pseudomonadaceae",0.6579724026971,0.162281568941061,0.00333484510751551,0,0.00135962360790287,0.213447186159129,0.00728697373203546,0,0.00256193905084803,0.716748119002469
"Burkholderiaceae",0,0.00223162209342009,0.0502798083733316,0.0236620360699894,0.0233143224545011,0.436558405225249,0.134152503296429,0.0557538151056155,0.220743214175225,0.0162594227534626
"Conexibacteraceae",0,0.00123169842934274,0.0701471531289727,0.0165842246753229,0.221878121000769,0.00252324106289124,0.0373452827235271,0.0135780630579804,0.0658767657799213,0
"Jiangellaceae",0.00512605106309544,0.0980405458524276,0.0749977866722766,0.0236735000747615,0.116591539843208,0.00806681149612192,0.0310746332805374,0.00263277251842967,0.00630640990595588,0.00280587550545647
"Vicinamibacteraceae",0.000431566213803165,0.000292186618209829,0.114239926481454,0.175342689291034,0.00151582387809663,0,0.000838409967022442,0.0223507320892364,0,0
"Rhodobiaceae",0,0.000861916904701302,0.0246213578802433,0.0603362708986542,0.00464332236369868,0,0.0518919036514089,0.169716894385083,0,0
"Paenibacillaceae",0.00265857678917821,0.0134691758211759,0.0602817289427936,0.110536813112612,0.0315641914754501,0.0111171841258094,0.0190669924626515,0.0166944345060413,0.0136601241114045,0.00144383545490887
"Comamonadaceae",0,0,0.0547938012773857,0.0167899743320085,0.0177168644628918,0,0.024158546971132,0.0530336835242836,0.0782248867586015,0
"Alcanivoracaceae",0.00774051591032642,0.0543650395774144,0.0321431831889582,0.0162229501084326,0.0164109478722064,0.0171214571412778,0.0200322506188267,0.00149634385375618,0.00180814289166164,0.0269776732139625
"Alcaligenaceae",0.0864455638165216,0.0151742964275618,0.000180806059616182,0,0.000914230888996491,0.00979092149647242,0,0.00038789360629878,0,0.0481604702926464
"Halomonadaceae",6.97466725584994e-05,0.048239200766321,0.0326393512075502,0.0162567039940285,0.0181221646808845,0.0122505022673334,0.0176026403270695,0.00213100548598315,0,0.0126903845775391
"Rhizobiaceae",0.0286707387821246,0.0308953791996642,0.00041717660232069,0.0005740971887623,0.00439810519234235,0.0432072926968469,0.00163809584450936,0.00110608701073334,0.00167921875526539,0.0316199197465064
"Nocardioidaceae",0.00135928469235266,0.0542291772409776,0.00198663999947815,0.000221711799569891,0.0217444691753765,0.0389366728346984,0.00763615910942023,0.00196926787018512,0.00655386152945129,0.0068647332141016
"Oceanospirillaceae",0.0954498323625092,0.00269656342361334,0,0,0,0.000994471156654685,0,0,0,0.00672987456538671
"Xanthomonadaceae",0.017111921180677,0.0364785959972152,0.00569580249571165,0.000507861212572462,0.00248876404739185,0.00142067308093526,0.000676244219641677,0.00309245088121985,0.00373862940211933,0.0262774499631412
"Bradyrhizobiaceae",0,0.0256678599102893,0.00207566312960745,0,0.0102361217321127,0.0392892589555176,0.00251010418573555,0,0.012540355948014,0
"Phyllobacteriaceae",0.00408868931465675,0.0175019665326802,0.0123110768373301,0.00595386590851263,0.00692998010335689,0.00992377946558932,0.010053873072219,0.00347793513885849,0.00294788711873913,0.0113783149053297
"Mycobacteriaceae",8.92105167619619e-05,0.0209172547486019,0.0034088775093162,0.00146922221065112,0.0109121216132062,0.0235890443425745,0.0068783385465997,0.0104020688765689,0.0062816299222929,0
"Dermacoccaceae",0,0.0112058550062182,0.000383710114940625,0,0.00875205088800815,0.0430420154981982,0,0,0.0060508569972939,0
"Lacipirellulaceae",0.000271267912740653,0,0.0150103252561533,0.0115669175311314,0.00532014060369571,0,0.0203300196591877,0.0150643890936233,0,0
"Candidatus Competibacteraceae",0.00456205744974132,0.0176504961829438,0.00496658823818674,0.00367964208600637,0.00295111557180088,0.00337688198683732,0.0119007330409659,0.00267845791910021,0.00134124592961942,0.00899875423717597
"Demequinaceae",0,0.023341188691211,0,0,0.0123173040760838,0.0180185724287511,0.00121448677846669,0,0.00484815725680365,0
"Micromonosporaceae",0.00175929047035831,0.0162606583215724,0.00428582727620097,0.000126229000773559,0.00726548599772151,0.0045987982892622,0.00389001467143157,0.00118409687859543,0.000997666161871324,0.00153920555319167
"Methylococcaceae",0.00640169646499783,0.0109617560347963,0.000229337758546158,0,0.000380384554926069,0.00576555673841344,0,0,0,0.0154141981914841
"Oxalobacteraceae",0.0142886062425325,0.00201555003806448,0,0,0,0.00199791601887934,0,0,0,0.015115845638465
"Chelatococcaceae",0.0016693503179129,0.00402830817581196,0.00324882090708583,0.00110801458033985,0.00123654030320708,0.00308006243892554,0,0,0.00040403383170592,0.00227500887624283
"Aeromonadaceae",0.0023768369796852,0.00249891957054829,0,0,0.000148239869950513,0.00152537285795734,0,0,0,0.00589078728322996
"Cellvibrionaceae",0.0047203913470407,0,0,0,0,0.00362392397759401,0,0,0,0.00405730723795331
"Methylophilaceae",0.00658913898587907,0.00215351805947776,0.000514326243910565,0.000366509007372078,0,0,0.000446382948241418,0.000489973904794253,0,0.000432912413111158
"Brucellaceae",0.00214823355348736,0.000225573924224361,0,0,0,0,0,0,0.00120083075978955,0.00315973813938979
