"","PC1","PC17","PC30"
"norank",0.0296685541474473,0.602020571321541,0.627588488991934
"Cupriavidus",0.518310296524913,0.152876463290424,0.058997996217869
"Afifella",0,0.0591345707959369,0.179592314428562
"Pseudomonas",0.131541413625461,0.00830403268571327,0
"Polaromonas",0,0.027530408515907,0.056119586687624
"Conexibacter",0.00299575453789787,0.0425576459854683,0.0143681380623589
"Flexivirga",0.0511022569921435,0,0
"Afipia",0.046646742373386,0.00286044494867026,0
"Mycolicibacterium",0.0280064349273739,0.00783836338852985,0.0110073403779684
"Nocardioides",0.0382682347324051,0.00664724600195408,0.000505895183607283
"Alcanivorax",0.0193966596987203,0.0228281959046764,0.00158341252266425
"Shinella",0.0395546373755698,0.00186672848501364,0.00117044756761958
"Halomonas",0.0145445864442457,0.0200594795598377,0.00225500359686828
"Thermobacillus",0,0.0165707087916987,0.0151837478131723
"Luteitalea",0,0.000955428690455483,0.0236512677162887
"Demequina",0.0213928113780856,0.00138399536976743,0
"Plasticicumulans",0.0040092521023028,0.013561744530747,0.00283431097731067
"Chelativorans",0.00845441563145085,0.00660855914583582,0.000563509973512933
"Paenibacillus",0.00925678826904487,0.00383201835713696,0.00248209589601788
"Rhizobium",0.0117438473671223,0,0
"Aeromicrobium",0.00795989465668128,0.00205470863240416,0.00157795967255037
"Methylomonas",0.00684524083593441,0,0
"Bordetella",0.00664532958953384,0,0
"Chelatococcus",0.00365684879028051,0,0
"Methylobacillus",0,0.000508685598281467,0.000518484314071529
