"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"norank",0.0455716416427721,0.331790573674586,0.473104265596065,0.588235073358184,0.420555426989758,0.046605931501565,0.57084627894822,0.607697366349049,0.541419632543613,0.0302969887040861
"Pseudomonadales",0.661308282271882,0.165165228423876,0.00356818143899451,0,0.00135962360790287,0.216018457164743,0.00728697373203546,0,0.00345445195253551,0.729568573535389
"Burkholderiales",0.100734170059054,0.0194214685590464,0.105254415710333,0.0404520104019979,0.0419454178063894,0.448347242740601,0.158311050267561,0.109175392236198,0.298968100933827,0.079535738684574
"Rhizobiales",0.0365770119681816,0.0791810046473713,0.0426740953565874,0.067972248576269,0.0274440696947177,0.0955003935568794,0.0660939767538728,0.174300916534675,0.018772326413514,0.0484329816674687
"Solirubrobacterales",0,0.00123169842934274,0.0871136939487887,0.0275170743053013,0.225547242001365,0.00252324106289124,0.0512050365724564,0.0262418532313331,0.0693247864490571,0
"Oceanospirillales",0.103260094945394,0.105300803767349,0.0647825343965084,0.032479654102461,0.034533112553091,0.0303664305652659,0.0376348909458961,0.00362734933973933,0.00180814289166164,0.0463979323568883
"Jiangellales",0.00512605106309544,0.0980405458524276,0.0749977866722766,0.0236735000747615,0.116591539843208,0.00806681149612192,0.0310746332805374,0.00263277251842967,0.00630640990595588,0.00280587550545647
"Xanthomonadales",0.0198919778801637,0.0368934353065562,0.0624042537791061,0.0953830365189152,0.0336191792491503,0.00235435081867391,0.0180847653234215,0.0305201186607673,0.0215538529307188,0.0262774499631412
"Bacillales",0.00265857678917821,0.0134691758211759,0.0602817289427936,0.110536813112612,0.0315641914754501,0.0111171841258094,0.0190669924626515,0.0166944345060413,0.0136601241114045,0.00144383545490887
"Propionibacteriales",0.00135928469235266,0.0542291772409776,0.00198663999947815,0.000221711799569891,0.0217444691753765,0.0389366728346984,0.00763615910942023,0.00196926787018512,0.00655386152945129,0.0068647332141016
"Micrococcales",0,0.0345470436974292,0.000383710114940625,0,0.021069354964092,0.0610605879269493,0.00121448677846669,0,0.0108990142540975,0
"Corynebacteriales",8.92105167619619e-05,0.0209172547486019,0.0034088775093162,0.00146922221065112,0.0109121216132062,0.0235890443425745,0.0068783385465997,0.0104020688765689,0.0062816299222929,0
"Pirellulales",0.000271267912740653,0,0.0150103252561533,0.0115669175311314,0.00532014060369571,0,0.0203300196591877,0.0150643890936233,0,0
"Micromonosporales",0.00175929047035831,0.0162606583215724,0.00428582727620097,0.000126229000773559,0.00726548599772151,0.0045987982892622,0.00389001467143157,0.00118409687859543,0.000997666161871324,0.00153920555319167
"Methylococcales",0.00640169646499783,0.0109617560347963,0.000229337758546158,0,0.000380384554926069,0.00576555673841344,0,0,0,0.0154141981914841
"Aeromonadales",0.0023768369796852,0.00249891957054829,0,0,0.000148239869950513,0.00152537285795734,0,0,0,0.00589078728322996
"Cellvibrionales",0.0047203913470407,0,0,0,0,0.00362392397759401,0,0,0,0.00405730723795331
"Nitrosomonadales",0.00658913898587907,0.00215351805947776,0.000514326243910565,0.000366509007372078,0,0,0.000446382948241418,0.000489973904794253,0,0.000432912413111158
"Myxococcales",0.00130507601046197,0.00793773784486568,0,0,0,0,0,0,0,0.0010414802350155
